Form_Label,Form_Value,Type,Fields_0,Fields_1,Fields_2,Fields_3,Fields_4,Fields_5,Fields_6,Fields_7,Fields_8,Fields_9,Fields_10,Fields_11,Fields_12,Fields_13,Fields_14,Fields_15,Fields_16,,,,,,,,,,,,
Field 1,,Radio,something1,something2,something3,something4,somethin5,,,,,,,,,,,,,,,,,,,,,,,,
Field 2,Val2,Radio,something1,something2,something3,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 3,Val3,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 4,Val4,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 5,Val5,DropDown,something1,something2,something3,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 6,Val6,DropDown,something1,something2,something3,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 7,Val7,TextArea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 8,Val8,TextArea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 9,Val9,Boolean,something1,something2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 10,Val10,Boolean,something1,something2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 11,Val11,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 12,Val12,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 13,Val13,DateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 14,Val14,DateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transport: type 2
Field 15,Val15,Decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction
Field 16,Val16,Decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing
Field 17,Val17,File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kindergarten
Field 18,Val18,File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 19,Val19,MultipleFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 20,Val20,Recaptcha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
